iter	Passed	Remaining
0	154	154516
1	165	82647
2	191	63529
3	214	53402
4	242	48170
5	270	44794
6	286	40657
7	318	39529
8	353	38900
9	381	37793
10	409	36819
11	437	36055
12	469	35622
13	500	35250
14	527	34638
15	538	33095
16	567	32843
17	604	32973
18	666	34392
19	703	34469
20	741	34553
21	780	34682
22	816	34684
23	884	35958
24	930	36287
25	971	36377
26	1067	38481
27	1111	38586
28	1147	38432
29	1208	39073
30	1229	38430
31	1274	38567
32	1315	38552
33	1359	38618
34	1402	38660
35	1456	39001
36	1495	38933
37	1527	38664
38	1578	38892
39	1631	39154
40	1675	39192
41	1717	39176
42	1756	39101
43	1798	39078
44	1829	38821
45	1858	38553
46	1891	38357
47	1923	38150
48	1943	37725
49	1964	37328
50	2004	37304
51	2047	37320
52	2087	37291
53	2131	37344
54	2172	37325
55	2211	37279
56	2254	37291
57	2291	37216
58	2329	37161
59	2368	37105
60	2408	37073
61	2461	37241
62	2510	37342
63	2564	37504
64	2643	38026
65	2707	38318
66	2779	38711
67	2819	38646
68	2865	38656
69	2900	38538
70	2929	38331
71	2953	38068
72	2985	37906
73	3012	37702
74	3041	37514
75	3070	37329
76	3101	37177
77	3128	36986
78	3159	36834
79	3190	36685
80	3222	36566
81	3254	36436
82	3283	36281
83	3310	36102
84	3335	35910
85	3372	35841
86	3411	35799
87	3443	35683
88	3474	35567
89	3501	35405
90	3530	35261
91	3554	35085
92	3580	34924
93	3605	34754
94	3634	34627
95	3661	34479
96	3690	34355
97	3721	34254
98	3755	34180
99	3789	34105
100	3829	34088
101	3868	34056
102	3903	33998
103	3936	33915
104	3966	33811
105	3996	33709
106	4029	33632
107	4059	33531
108	4090	33440
109	4120	33337
110	4148	33224
111	4177	33123
112	4203	32995
113	4229	32872
114	4260	32785
115	4291	32701
116	4319	32598
117	4347	32494
118	4384	32459
119	4413	32366
120	4440	32255
121	4464	32131
122	4490	32014
123	4516	31908
124	4544	31811
125	4582	31784
126	4625	31792
127	4656	31721
128	4686	31641
129	4713	31543
130	4739	31439
131	4773	31388
132	4810	31355
133	4856	31383
134	4891	31344
135	4923	31280
136	4953	31201
137	4997	31214
138	5032	31171
139	5058	31073
140	5084	30976
141	5110	30876
142	5136	30781
143	5172	30745
144	5207	30705
145	5240	30652
146	5271	30590
147	5304	30535
148	5336	30479
149	5364	30401
150	5389	30304
151	5415	30213
152	5440	30116
153	5469	30045
154	5500	29987
155	5536	29954
156	5572	29918
157	5612	29910
158	5643	29850
159	5677	29804
160	5713	29773
161	5744	29717
162	5775	29658
163	5816	29651
164	5845	29580
165	5873	29507
166	5899	29429
167	5925	29345
168	5953	29272
169	5984	29219
170	6017	29172
171	6049	29122
172	6078	29057
173	6113	29021
174	6148	28984
175	6179	28932
176	6211	28879
177	6249	28858
178	6289	28846
179	6320	28794
180	6355	28756
181	6386	28704
182	6416	28645
183	6446	28586
184	6478	28540
185	6514	28509
186	6551	28483
187	6603	28519
188	6643	28507
189	6679	28474
190	6713	28435
191	6754	28425
192	6787	28382
193	6834	28395
194	6870	28361
195	6907	28336
196	6944	28307
197	6975	28254
198	7006	28202
199	7039	28159
200	7068	28099
201	7099	28044
202	7127	27981
203	7164	27955
204	7210	27961
205	7271	28026
206	7313	28018
207	7364	28042
208	7402	28016
209	7430	27951
210	7456	27883
211	7486	27828
212	7519	27783
213	7551	27736
214	7583	27689
215	7613	27634
216	7639	27566
217	7666	27499
218	7692	27431
219	7714	27350
220	7740	27283
221	7776	27252
222	7816	27235
223	7871	27268
224	7905	27229
225	7939	27192
226	7981	27177
227	8016	27144
228	8050	27103
229	8088	27078
230	8121	27035
231	8161	27017
232	8197	26984
233	8230	26942
234	8266	26910
235	8300	26872
236	8335	26834
237	8364	26780
238	8393	26725
239	8421	26667
240	8459	26641
241	8494	26606
242	8534	26587
243	8576	26571
244	8623	26574
245	8660	26544
246	8691	26498
247	8723	26453
248	8755	26408
249	8788	26364
250	8820	26320
251	8849	26266
252	8893	26257
253	8922	26206
254	8956	26166
255	8988	26122
256	9017	26071
257	9049	26025
258	9078	25974
259	9108	25924
260	9150	25910
261	9196	25905
262	9241	25898
263	9288	25894
264	9338	25901
265	9376	25874
266	9412	25840
267	9449	25810
268	9478	25758
269	9510	25712
270	9538	25657
271	9582	25646
272	9616	25608
273	9656	25587
274	9693	25555
275	9729	25523
276	9766	25491
277	9805	25466
278	9841	25432
279	9875	25393
280	9917	25376
281	9950	25336
282	9985	25299
283	10019	25260
284	10056	25228
285	10092	25196
286	10123	25151
287	10158	25115
288	10197	25087
289	10233	25054
290	10273	25029
291	10319	25021
292	10389	25069
293	10422	25029
294	10452	24980
295	10483	24933
296	10518	24896
297	10547	24847
298	10580	24805
299	10616	24772
300	10658	24752
301	10700	24731
302	10745	24717
303	10792	24708
304	10842	24705
305	10890	24700
306	10923	24658
307	10953	24609
308	10980	24555
309	11011	24510
310	11037	24452
311	11062	24395
312	11089	24339
313	11114	24281
314	11141	24228
315	11170	24180
316	11208	24149
317	11238	24102
318	11267	24053
319	11301	24016
320	11341	23990
321	11378	23959
322	11413	23922
323	11441	23872
324	11472	23826
325	11501	23780
326	11532	23735
327	11558	23680
328	11586	23630
329	11614	23580
330	11645	23537
331	11673	23488
332	11701	23438
333	11726	23382
334	11753	23332
335	11781	23283
336	11811	23237
337	11861	23231
338	11888	23179
339	11916	23132
340	11943	23081
341	11969	23029
342	11994	22973
343	12019	22920
344	12043	22865
345	12067	22810
346	12092	22755
347	12124	22716
348	12159	22681
349	12196	22649
350	12227	22608
351	12255	22561
352	12287	22520
353	12319	22481
354	12345	22431
355	12372	22380
356	12396	22328
357	12422	22276
358	12446	22224
359	12472	22172
360	12500	22127
361	12536	22094
362	12568	22055
363	12606	22027
364	12645	21999
365	12675	21957
366	12705	21914
367	12734	21870
368	12766	21831
369	12795	21786
370	12826	21747
371	12858	21706
372	12911	21703
373	12942	21662
374	12973	21621
375	13001	21577
376	13030	21532
377	13057	21486
378	13085	21440
379	13112	21394
380	13140	21348
381	13169	21305
382	13197	21259
383	13223	21212
384	13255	21173
385	13284	21131
386	13321	21100
387	13355	21066
388	13392	21036
389	13423	20995
390	13449	20948
391	13477	20903
392	13506	20861
393	13531	20811
394	13555	20762
395	13579	20712
396	13614	20679
397	13648	20644
398	13684	20612
399	13719	20579
400	13752	20542
401	13785	20506
402	13815	20466
403	13842	20421
404	13868	20374
405	13907	20348
406	13936	20304
407	13966	20265
408	14011	20246
409	14041	20206
410	14072	20166
411	14100	20123
412	14127	20079
413	14154	20034
414	14178	19986
415	14216	19957
416	14248	19920
417	14281	19885
418	14322	19860
419	14355	19824
420	14386	19786
421	14412	19740
422	14437	19693
423	14464	19649
424	14494	19610
425	14522	19567
426	14547	19521
427	14574	19477
428	14599	19431
429	14628	19391
430	14656	19348
431	14683	19306
432	14712	19265
433	14748	19234
434	14806	19231
435	14851	19212
436	14885	19177
437	14924	19149
438	14977	19140
439	15008	19101
440	15036	19059
441	15064	19017
442	15092	18976
443	15123	18938
444	15153	18898
445	15200	18881
446	15226	18837
447	15253	18794
448	15285	18758
449	15315	18719
450	15345	18679
451	15382	18649
452	15412	18611
453	15443	18573
454	15470	18530
455	15506	18499
456	15545	18470
457	15579	18437
458	15612	18401
459	15642	18363
460	15676	18328
461	15705	18288
462	15740	18256
463	15773	18220
464	15803	18182
465	15831	18141
466	15860	18101
467	15889	18062
468	15928	18033
469	15955	17992
470	16009	17980
471	16035	17937
472	16061	17894
473	16086	17851
474	16112	17808
475	16140	17767
476	16171	17731
477	16202	17693
478	16233	17656
479	16265	17621
480	16295	17582
481	16326	17545
482	16353	17504
483	16380	17463
484	16407	17422
485	16438	17385
486	16469	17349
487	16503	17315
488	16530	17273
489	16566	17242
490	16600	17209
491	16640	17181
492	16671	17145
493	16697	17103
494	16721	17059
495	16747	17017
496	16776	16978
497	16806	16941
498	16835	16903
499	16863	16863
500	16894	16827
501	16924	16789
502	16956	16754
503	16992	16723
504	17046	16709
505	17079	16674
506	17110	16637
507	17151	16611
